Instance,F,n,m,Best
I_3_6_4_1.txt,3,6,4,111
I_3_6_4_2.txt,3,6,4,92
I_3_6_4_3.txt,3,6,4,183
I_3_6_4_4.txt,3,6,4,145
I_3_6_4_5.txt,3,6,4,133
I_3_6_5_1.txt,3,6,5,139
I_3_6_5_2.txt,3,6,5,90
I_3_6_5_3.txt,3,6,5,127
I_3_6_5_4.txt,3,6,5,196
I_3_6_5_5.txt,3,6,5,50
I_3_8_2_1.txt,3,8,2,273
I_3_8_2_2.txt,3,8,2,223
I_3_8_2_3.txt,3,8,2,135
I_3_8_2_4.txt,3,8,2,261
I_3_8_2_5.txt,3,8,2,167
I_3_8_3_1.txt,3,8,3,175
I_3_8_3_2.txt,3,8,3,203
I_3_8_3_3.txt,3,8,3,200
I_3_8_3_4.txt,3,8,3,120
I_3_8_3_5.txt,3,8,3,209
I_3_8_4_1.txt,3,8,4,178
I_3_8_4_2.txt,3,8,4,214
I_3_8_4_3.txt,3,8,4,263
I_3_8_4_4.txt,3,8,4,212
I_3_8_4_5.txt,3,8,4,297
I_3_8_5_1.txt,3,8,5,303
I_3_8_5_2.txt,3,8,5,352
I_3_8_5_3.txt,3,8,5,210
I_3_8_5_4.txt,3,8,5,282
I_3_8_5_5.txt,3,8,5,287
I_3_10_2_1.txt,3,10,2,288
I_3_10_2_2.txt,3,10,2,313
I_3_10_2_3.txt,3,10,2,395
I_3_10_2_4.txt,3,10,2,400
I_3_10_2_5.txt,3,10,2,278
I_3_10_3_1.txt,3,10,3,563
I_3_10_3_2.txt,3,10,3,518
I_3_10_3_3.txt,3,10,3,406
I_3_10_3_4.txt,3,10,3,374
I_3_10_3_5.txt,3,10,3,398
I_3_10_4_1.txt,3,10,4,525
I_3_10_4_2.txt,3,10,4,372
I_3_10_4_3.txt,3,10,4,305
I_3_10_4_4.txt,3,10,4,420
I_3_10_4_5.txt,3,10,4,485
I_3_10_5_1.txt,3,10,5,396
I_3_10_5_2.txt,3,10,5,489
I_3_10_5_3.txt,3,10,5,574
I_3_10_5_4.txt,3,10,5,409
I_3_10_5_5.txt,3,10,5,405
I_3_12_2_1.txt,3,12,2,698
I_3_12_2_2.txt,3,12,2,718
I_3_12_2_3.txt,3,12,2,541
I_3_12_2_4.txt,3,12,2,625
I_3_12_2_5.txt,3,12,2,837
I_3_12_3_1.txt,3,12,3,751
I_3_12_3_2.txt,3,12,3,466
I_3_12_3_3.txt,3,12,3,635
I_3_12_3_4.txt,3,12,3,429
I_3_12_3_5.txt,3,12,3,445
I_3_12_4_1.txt,3,12,4,830
I_3_12_4_2.txt,3,12,4,642
I_3_12_4_3.txt,3,12,4,762
I_3_12_4_4.txt,3,12,4,958
I_3_12_4_5.txt,3,12,4,774
I_3_12_5_1.txt,3,12,5,721
I_3_12_5_2.txt,3,12,5,465
I_3_12_5_3.txt,3,12,5,679
I_3_12_5_4.txt,3,12,5,640
I_3_12_5_5.txt,3,12,5,677
I_3_14_2_1.txt,3,14,2,786
I_3_14_2_2.txt,3,14,2,909
I_3_14_2_3.txt,3,14,2,959
I_3_14_2_4.txt,3,14,2,1054
I_3_14_2_5.txt,3,14,2,750
I_3_14_3_1.txt,3,14,3,726
I_3_14_3_2.txt,3,14,3,892
I_3_14_3_3.txt,3,14,3,814
I_3_14_3_4.txt,3,14,3,920
I_3_14_3_5.txt,3,14,3,1184
I_3_14_4_1.txt,3,14,4,930
I_3_14_4_2.txt,3,14,4,970
I_3_14_4_3.txt,3,14,4,1101
I_3_14_4_4.txt,3,14,4,935
I_3_14_4_5.txt,3,14,4,904
I_3_14_5_1.txt,3,14,5,1095
I_3_14_5_2.txt,3,14,5,1144
I_3_14_5_3.txt,3,14,5,771
I_3_14_5_4.txt,3,14,5,1265
I_3_14_5_5.txt,3,14,5,1413
I_3_16_2_1.txt,3,16,2,1150
I_3_16_2_2.txt,3,16,2,880
I_3_16_2_3.txt,3,16,2,1484
I_3_16_2_4.txt,3,16,2,1130
I_3_16_2_5.txt,3,16,2,758
I_3_16_3_1.txt,3,16,3,1297
I_3_16_3_2.txt,3,16,3,1258
I_3_16_3_3.txt,3,16,3,1285
I_3_16_3_4.txt,3,16,3,1636
I_3_16_3_5.txt,3,16,3,1231
I_3_16_4_1.txt,3,16,4,1348
I_3_16_4_2.txt,3,16,4,1391
I_3_16_4_3.txt,3,16,4,1580
I_3_16_4_4.txt,3,16,4,1447
I_3_16_4_5.txt,3,16,4,1325
I_3_16_5_1.txt,3,16,5,1392
I_3_16_5_2.txt,3,16,5,1104
I_3_16_5_3.txt,3,16,5,1603
I_3_16_5_4.txt,3,16,5,1458
I_3_16_5_5.txt,3,16,5,1968
I_4_4_2_1.txt,4,4,2,0
I_4_4_2_2.txt,4,4,2,0
I_4_4_2_3.txt,4,4,2,0
I_4_4_2_4.txt,4,4,2,0
I_4_4_2_5.txt,4,4,2,0
I_4_4_3_1.txt,4,4,3,0
I_4_4_3_2.txt,4,4,3,0
I_4_4_3_3.txt,4,4,3,0
I_4_4_3_4.txt,4,4,3,0
I_4_4_3_5.txt,4,4,3,0
I_4_4_4_1.txt,4,4,4,0
I_4_4_4_2.txt,4,4,4,0
I_4_4_4_3.txt,4,4,4,0
I_4_4_4_4.txt,4,4,4,0
I_4_4_4_5.txt,4,4,4,0
I_4_4_5_1.txt,4,4,5,0
I_4_4_5_2.txt,4,4,5,0
I_4_4_5_3.txt,4,4,5,0
I_4_4_5_4.txt,4,4,5,0
I_4_4_5_5.txt,4,4,5,0
I_4_6_2_1.txt,4,6,2,73
I_4_6_2_2.txt,4,6,2,9
I_4_6_2_3.txt,4,6,2,67
I_4_6_2_4.txt,4,6,2,17
I_4_6_2_5.txt,4,6,2,20
I_4_6_3_1.txt,4,6,3,66
I_4_6_3_2.txt,4,6,3,21
I_4_6_3_3.txt,4,6,3,83
I_4_6_3_4.txt,4,6,3,15
I_4_6_3_5.txt,4,6,3,17
I_4_6_4_1.txt,4,6,4,29
I_4_6_4_2.txt,4,6,4,54
I_4_6_4_3.txt,4,6,4,90
I_4_6_4_4.txt,4,6,4,24
I_4_6_4_5.txt,4,6,4,72
I_4_6_5_1.txt,4,6,5,60
I_4_6_5_2.txt,4,6,5,53
I_4_6_5_3.txt,4,6,5,30
I_4_6_5_4.txt,4,6,5,35
I_4_6_5_5.txt,4,6,5,48
I_4_8_2_1.txt,4,8,2,82
I_4_8_2_2.txt,4,8,2,74
I_4_8_2_3.txt,4,8,2,160
I_4_8_2_4.txt,4,8,2,111
I_4_8_2_5.txt,4,8,2,191
I_4_8_3_1.txt,4,8,3,131
I_4_8_3_2.txt,4,8,3,178
I_4_8_3_3.txt,4,8,3,72
I_4_8_3_4.txt,4,8,3,117
I_4_8_3_5.txt,4,8,3,25
I_4_8_4_1.txt,4,8,4,60
I_4_8_4_2.txt,4,8,4,147
I_4_8_4_3.txt,4,8,4,60
I_4_8_4_4.txt,4,8,4,200
I_4_8_4_5.txt,4,8,4,149
I_4_8_5_1.txt,4,8,5,224
I_4_8_5_2.txt,4,8,5,154
I_4_8_5_3.txt,4,8,5,122
I_4_8_5_4.txt,4,8,5,61
I_4_8_5_5.txt,4,8,5,173
I_4_10_2_1.txt,4,10,2,111
I_4_10_2_2.txt,4,10,2,206
I_4_10_2_3.txt,4,10,2,201
I_4_10_2_4.txt,4,10,2,249
I_4_10_2_5.txt,4,10,2,191
I_4_10_3_1.txt,4,10,3,226
I_4_10_3_2.txt,4,10,3,136
I_4_10_3_3.txt,4,10,3,147
I_4_10_3_4.txt,4,10,3,327
I_4_10_3_5.txt,4,10,3,307
I_4_10_4_1.txt,4,10,4,297
I_4_10_4_2.txt,4,10,4,296
I_4_10_4_3.txt,4,10,4,108
I_4_10_4_4.txt,4,10,4,230
I_4_10_4_5.txt,4,10,4,234
I_4_10_5_1.txt,4,10,5,273
I_4_10_5_2.txt,4,10,5,436
I_4_10_5_3.txt,4,10,5,178
I_4_10_5_4.txt,4,10,5,339
I_4_10_5_5.txt,4,10,5,324
I_4_12_2_1.txt,4,12,2,466
I_4_12_2_2.txt,4,12,2,280
I_4_12_2_3.txt,4,12,2,307
I_4_12_2_4.txt,4,12,2,382
I_4_12_2_5.txt,4,12,2,418
I_4_12_3_1.txt,4,12,3,338
I_4_12_3_2.txt,4,12,3,257
I_4_12_3_3.txt,4,12,3,472
I_4_12_3_4.txt,4,12,3,362
I_4_12_3_5.txt,4,12,3,486
I_4_12_4_1.txt,4,12,4,383
I_4_12_4_2.txt,4,12,4,437
I_4_12_4_3.txt,4,12,4,441
I_4_12_4_4.txt,4,12,4,576
I_4_12_4_5.txt,4,12,4,352
I_4_12_5_1.txt,4,12,5,421
I_4_12_5_2.txt,4,12,5,506
I_4_12_5_3.txt,4,12,5,505
I_4_12_5_4.txt,4,12,5,361
I_4_12_5_5.txt,4,12,5,539
I_4_14_2_1.txt,4,14,2,529
I_4_14_2_2.txt,4,14,2,435
I_4_14_2_3.txt,4,14,2,529
I_4_14_2_4.txt,4,14,2,438
I_4_14_2_5.txt,4,14,2,341
I_4_14_3_1.txt,4,14,3,577
I_4_14_3_2.txt,4,14,3,705
I_4_14_3_3.txt,4,14,3,364
I_4_14_3_4.txt,4,14,3,613
I_4_14_3_5.txt,4,14,3,512
I_4_14_4_1.txt,4,14,4,814
I_4_14_4_2.txt,4,14,4,704
I_4_14_4_3.txt,4,14,4,471
I_4_14_4_4.txt,4,14,4,448
I_4_14_4_5.txt,4,14,4,513
I_4_14_5_1.txt,4,14,5,676
I_4_14_5_2.txt,4,14,5,463
I_4_14_5_3.txt,4,14,5,834
I_4_14_5_4.txt,4,14,5,491
I_4_14_5_5.txt,4,14,5,709
I_4_16_2_1.txt,4,16,2,1368
I_4_16_2_2.txt,4,16,2,600
I_4_16_2_3.txt,4,16,2,1046
I_4_16_2_4.txt,4,16,2,564
I_4_16_2_5.txt,4,16,2,747
I_4_16_3_1.txt,4,16,3,1019
I_4_16_3_2.txt,4,16,3,717
I_4_16_3_3.txt,4,16,3,920
I_4_16_3_4.txt,4,16,3,697
I_4_16_3_5.txt,4,16,3,706
I_4_16_4_1.txt,4,16,4,786
I_4_16_4_2.txt,4,16,4,967
I_4_16_4_3.txt,4,16,4,986
I_4_16_4_4.txt,4,16,4,836
I_4_16_4_5.txt,4,16,4,885
I_4_16_5_1.txt,4,16,5,900
I_4_16_5_2.txt,4,16,5,699
I_4_16_5_3.txt,4,16,5,698
I_4_16_5_4.txt,4,16,5,1086
I_4_16_5_5.txt,4,16,5,1083
